decile,mean_pred,mean_actual,n
0,0.03193852038745274,0.039773274981202644,51869
1,0.06434950994913266,0.08159173286033779,51868
2,0.09079526538982861,0.11720135729158633,51868
3,0.11535689177323638,0.15194339477134264,51868
4,0.14068649078449005,0.18612632066013726,51868
5,0.16826623086165152,0.22281560885324284,51868
6,0.1999433167420248,0.2627438883319195,51868
7,0.23948451180761737,0.31059612863422537,51868
8,0.2984868834478,0.3744505282640549,51868
9,0.4576091647927997,0.4940716034625692,51869
