decile,mean_pred,mean_actual,n
0,0.037594120962753615,0.04513293103780678,51869
1,0.06807458810264931,0.09071103570602299,51868
2,0.09156359016012816,0.12423845145369014,51868
3,0.11412966831810706,0.15853705560268375,51868
4,0.13778865208886404,0.1913704017891571,51868
5,0.16446789340050283,0.22291200740340866,51868
6,0.19685045296077033,0.26156782601989664,51868
7,0.23969737972204425,0.30419526490321586,51868
8,0.3060005979134316,0.3588532428472276,51868
9,0.45242227831001863,0.4837957161310224,51869
