,mean_abs_shap
sub_grade,0.34319532204368314
term,0.20247003260926705
grade,0.1455176161235193
fico,0.12196052713163631
dti,0.11065006485589438
annual_inc,0.10897855503395915
addr_state,0.09261118041097598
home_ownership,0.08385084775177933
open_acc,0.07957608548418585
loan_amnt,0.07869064863569449
int_rate,0.06844897408057785
revol_bal,0.06392533722875551
inq_last_6mths,0.061727028117949535
mort_acc,0.05131603064214988
emp_length,0.048707717037730455
installment,0.028555947455390907
credit_history_years,0.026208888469989502
purpose,0.02190115731678301
verification_status,0.02180045653363608
mths_since_last_delinq,0.020188658487396732
mths_since_last_record,0.017163749791219596
total_acc,0.01668606457136699
revol_util,0.014205306026437575
application_type,0.004031457224259455
delinq_2yrs,0.0035228117050018085
pub_rec_bankruptcies,0.003007785404296012
pub_rec,0.0007097751343621101
